ID	UNNAMED	ORP	ORF	ORT	PHM	PHT	IPA	TRA	CONCEPT	CSA	SRC	REF	COA	EML_(AUTEUR)	EMF_(AUTEUR)	EMT_(AUTEUR)	EML_(SAISIE)	EMF_(SAISIE)	EMT_(SAISIE)	CGR	DV	TOKENS	DOCULECT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID	ALIGNMENT	COGIDS	STRUCTURE	PATTERNS
1461	17	0	0	ururu			uɾuɾu	manzana de adán	Adam's apple		9	233								N.		u ɾ u ɾ u	Kokama	7 5 7 5 7	XBYBZ	YRYRY	1	1.Y.V 1.R.C 1.Y.V 1.R.C 1.Y.V	1.5 1.75 1.3 1.75 0.8	0	2	u ɾ u ɾ u	2	c c c c c	0/n 0/n 0/n 0/n 0/n
1642	1314	314	1	abá			aβá	índio	Indian		2	19										a β á	Tupinamba	7 3 2007	XBZ	ABA	3	3.A.V 3.B.C 3.A.V	1.5 1.75 0.8	0	3	- - - a β á	3	c c c	2-157/Ø 2-157/Ø 2-157/Ø 1-gen_a/a 17-b>w/w 16-gen_a_tpn_stress/a
1815	1365	309	3	apyaba			apɨaβa	índio, gentio	Indian		2	32										a p ɨ a β a	Tupinamba	7 1 7 7 3 7	XBYYBZ	APIABA	3	3.A.V 3.P.C 3.I.V 3.A.V 3.B.C 3.A.V	1.5 1.75 1.3 1.3 1.75 0.8	0	3	a p ɨ a β a	3	c c c c c c	2-157/Ø 2-157/Ø 2-157/Ø 1-gen_a/a 17-b>w/w 16-gen_a_tpn_stress/a
3038	315	0	0	tapyyia			tapɨɨia	tapuia, bárbaro	Indian from another group	OL: Perhaps /tapɨʔɨja/?	2	149										t a p ɨ ʔ ɨ j a	Tupinamba	1 7 1 7 7 7 7	AXBYYYZ	TAPIIIA	3	3.T.C 3.A.V 3.P.C 3.I.V 3.I.V 3.I.V 3.A.V	2.0 1.5 1.75 1.3 1.3 1.3 0.8	0	4	t a p ɨ ʔ ɨ j a	4	c c c c c c c c	7-gen_t/t 1-gen_a/a 6-gen_p/p 9-gen_ɨ/ɨ 13-glott_loss/- 55-ɨ_loss/ɨ 15-gen_j/j 1-gen_a/a
2053	1427	311	2	cunhã			kuɲã	india	Indian woman		2	49										k u ɲ ã	Tupinamba	1 7 4 7	AXBZ	KYNA	3	3.K.C 3.Y.V 3.N.C 3.A.V	2.0 1.5 1.75 0.8	0	5	k u ɲ ã	5	c c c c	0/n 0/n 0/n 0/n
732				yusuka			jusuka	meter	NONE													j u s u k a	Omagua	6 7 3 7 1 7	AXBYBZ	JYSYKA	2	2.J.C 2.Y.V 2.S.C 2.Y.V 2.K.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	11	j u s u k a	11	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
1320	1149	990	3	tsapu			tsapu	sonar, tocar un instrumento	NONE		9	208								V.		ts a p u	Kokama	2 7 1 7	AXBZ	CAPY	1	1.C.C 1.A.V 1.P.C 1.Y.V	2.0 1.5 1.75 0.8	0	10	ts a p u	10	c c c c	0/n 0/n 0/n 0/n
1619		0	0	yatɨka			jatɨka	picar, pinchar con un elemento punzocortante como una aguja, flecha, pucuna, e incluso una escopeta. No implica el desplazamiento del instrumento porque el objetivo generalmente se encuentra cerca. También se aplica a la acción de picar de los insectos que tienen lancetas como el zancudo, el tábano y la hormiga. El bagre también pica con sus cuernos.	NONE		9	261										j a t ɨ k a	Kokama	6 7 1 7 1 7	AXBYBZ	JATIKA	1	1.J.C 1.A.V 1.T.C 1.I.V 1.K.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	9	j a t ɨ k a	9	c c c c c c	36-15/j 1-gen_a/a 7-gen_t/t 9-gen_ɨ/ɨ 4-gen_k/k 16-gen_a_tpn_stress/a
1620		0	0	kawiri			kawiɾi	veneno	NONE		9	101										k a w i ɾ i	Kokama	1 7 6 7 5 7	AXBYBZ	KAWIRI	1	1.K.C 1.A.V 1.W.C 1.I.V 1.R.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	7	k a w i ɾ i	7	c c c c c c	128-4/k 93-3/a 17-b>w/w 226-1/i 3-gen_ɾ/ɾ 8-gen_i/i
1968	198	0	0	canindé			kanindé	canindé	NONE		2	44										k a n i nd é	Tupinamba	1 7 4 7 4 1 7	AXBYMBZ	KANINTE	3	3.K.C 3.A.V 3.N.C 3.I.V 3.N.c 3.T.C 3.E.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	12	k a n i nd é	12	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n
