NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	a few days ago		
2	a few times		
3	abdominal wall		
4	above, on top		
5	accuse	1814	ACCUSE
6	achiote	349	ACHIOTE
7	achiote, Bixa orellana		
8	Adam's apple	802	ADAM'S APPLE
9	adorn, decorate	1739	DECORATE
10	adorn, decorate@	1739	DECORATE
11	adxe		
12	after	1685	AFTER
13	afternoon	1807	AFTERNOON
14	again	204	AGAIN
15	agouti	313	AGOUTI
16	agouti, Dasyprocta fuliginosa		
17	air	27	AIR
18	ají, pepper	919	CHILI PEPPER
19	ají, pepper, Capiscum annuum		
20	all	98	ALL
21	all together		
22	already	2576	ALREADY
23	also		
24	also (FS)		
25	also (MS)		
26	always	1676	ALWAYS
27	amount, portion	2987	AMOUNT
28	and	1577	AND
29	angry, mad, be angry (intr)	2223	BE ANGRY
30	animal	619	ANIMAL
31	ankle	803	ANKLE
32	annoint
33	another	OTHER	OTHER
34	ant	587	ANT
35	ant sp.		
36	ant, generic term	587	ANT
37	ant@	587	ANT
38	anteater	181	ANTEATER
39	anus	1935	ANUS
40	any light object that floats and is filled with air, like a buoy or fish lung		
41	appear (intr)	1076	EMERGE (APPEAR)
42	aquatic spirit		
43	arm	1673	ARM
44	arm, frame		
45	armadillo	1885	ARMADILLO
46	armadillo sp., Dasypus novemcinctus.		
47	arming, framing		
48	around here, near		
49	arrange, adorn		
50	arrival		
51	arrive (intr)	1387	ARRIVE
52	arrow	977	ARROW
53	arrow cane stem
54	ashamed, embarrased	1894	ASHAMED
55	ashes	646	ASH
56	ashes from tree sp., Licania elata		
57	ask (trans)	1309	ASK (INQUIRE)
58	ask for (ditr?)	1828	ASK (INQUIRE)
59	ask for, request	1828	ASK (INQUIRE)
60	ask, request for something without indicating if it's a gift or to borrow		
61	assault, attack		
62	at the same time		
63	attach, adhere, stick to	3894	ATTACH
64	attack	722	ATTACK
65	attempt, try to do something	1812	TRY
66	augmentative, big, large		
67	augmentative; big, large		
68	aunt	1272	AUNT
69	await (trans)	1590	WAIT (FOR)
70	axe	677	AXE
71	back	1291	BACK
72	back part	2323	BACK (PART)
73	back part, seat, buttocks		
74	back, aft		
75	bad	1292	BAD
76	bad smell	1587	SMELL (STINK)
77	bad smell, stink (n.)	1587	SMELL (STINK)
78	bad spirit		
79	bait, lure		
80	bamboo	1927	BAMBOO
81	bamboo platform		
82	banana	868	BANANA
83	banana sp.	868	BANANA
84	baptize		
85	bar at the port		
86	bark	1206	BARKING
87	bark of a tree	1204	BARK
88	base, seat of an object	831	BASE
89	basket	1539	BASKET
90	basket (in relation to who carries it)		
91	bat	1793	BAT
92	bathe (intr)	138	BATHE
93	battle cry (n.)	3741	BATTLE CRY (WAR WHOOP)
94	battle cry (v.)		
95	be (plural)		
96	be a color between pink and brown, including yellow colors		
97	be able to (trans)	972	BE ABLE
98	be able, skilled		
99	be ash-colored, gray		
100	be ashamed or embarrased	1894	ASHAMED
101	be bad	1292	BAD
102	be blind	1653	BLIND
103	be bored		
104	be born (from the sky)		
105	be born (intr)	1090	BE BORN
106	be called, be named	3835	BE CALLED BY NAME
107	be carried		
108	be clear		
109	be cloudy, hazy	2743	CLOUDY
110	be clumsy, awkward	3900	CLUMSY
111	be cooked	269	COOKED
112	be covered		
113	be dark, get dark		
114	be dirty	1230	DIRTY
115	be dizzy	2712	GET DIZZY
116	be doing something		
117	be domestic		
118	be empty, clean		
119	be far	1406	FAR
120	be fast	1631	FAST
121	be fat	1279	FAT (OBESE)
122	be fermented		
123	be flat	1633	FLAT
124	be fresh	243	FRESH
125	be full	1429	FULL
126	be full of something, i.e. pregnant woman, ball full of air	1429	FULL
127	be good	1035	GOOD
128	be gravely sick		
129	be hard	1884	HARD
130	be heavy	1210	HEAVY
131	be high-pitched, high sound		
132	be hot	1286	HOT
133	be hungry	1533	BE HUNGRY
134	be in a place		
135	be in line		
136	be informed of, know		
137	be jealous of	2821	JEALOUS
138	be late (a person)	425	BE LATE
139	be lazy	1564	LAZY
140	be made, created		
141	be many, expand		
142	be muddy		
143	be named, be called	3835	BE CALLED BY NAME
144	be new	1231	NEW
145	be odorous (fragrant) (intr)	376	FRAGANT
146	be poor	1674	POOR
147	be pregnant (intr)	1123	PREGNANT
148	be pretty, beautiful	1427	BEAUTIFUL
149	be quiet, calm		
150	be quiet, shush, silence		
151	be rotten	1728	ROTTEN
152	be sad (intr)	699	SAD
153	be scared (v.), be afraid		
154	be seen or visible	1419	FEAR (BE AFRAID)
155	be slippery	3702	SLIPPERY
156	be slow	701	SLOW
157	be small	1246	SMALL
158	be smooth	1234	SMOOTH
159	be sticky, gummy	3703	STICKY
160	be stinky (smell bad) (intr)	1587	SMELL (STINK)
161	be strong	785	STRONG
162	be suspicious of		
163	be sweet	717	SWEET
164	be thick	1244	THICK
165	be thirsty (intr)	3474	BE THIRSTHY
166	be tired	1757	TIRED
167	be tired of something, fed up with something	1757	TIRED
168	be ugly	1548	UGLY
169	be useless
170	be weak	1601	WEAK
171	be weak (feeble)	1601	WEAK
172	be wet	1726	WET
173	be white	1335	WHITE
174	be wide	1243	WIDE
175	be with		
176	be worn out		
177	be, generic plural		
178	be/feel very hot	3818	HOT (FEELING HOT)
179	beach	3460	BEACH
180	bead	1860	BEAD
181	beak	73	BEAK
182	beard, moustache, facial hair		
183	beat	1665	BEAT
184	beat, hit (trans)	2133	STRIKE OR BEAT
185	beat, hit (trans) (something round)		
186	beat, play (making a clicking/clacking noise		
187	beaten		
188	become absorbed, interested		
189	become muddy		
190	become physically tired	1996	GET TIRED
191	become sick	2327	BECOME SICK
192	become sour, acidic, bitter		
193	bed	1663	BED
194	bed frame, platform		
195	bed time		
196	bed, place		
197	bee	665	BEE
198	before	1882	BEFORE
199	begin (v.) (trans, comp)	1806	BEGIN
200	beginning	1557	BEGINNING
201	beginning, origin	1557	BEGINNING
202	behind	1686	BEHIND
203	behind something, someone	1686	BEHIND
204	being (n.)		
205	believe	1890	BELIEVE
206	believe (trans, comp)	1890	BELIEVE
207	belly	1251	BELLY
208	belly (the part between the hips)
209	belly button	1838	NAVEL
210	bend (trans)	2004	BEND
211	bend, curve		
212	bent, humped		
213	bent, twisted		
214	bent, twisted@		
215	betray	1902	BETRAY
216	big and thick		
217	big, large		
218	big, large (and thick)		
219	big, large and thick		
220	big, large@		
221	bird	937	BIRD
222	bird, generic term	937	BIRD
223	bird@	937	BIRD
224	bite (trans)	1403	BITE
225	bitter	887	BITTER
226	bitter, become bitter from fermentation		
227	black	163	BLACK
228	black jaguar, lit. black dog		
229	black vulture, Coragyps atratus		
230	blind	1653	BLIND
231	blood	946	BLOOD
232	blossom, bloom	3287	BLOOM
233	blow (trans)	176	BLOW (WITH MOUTH)
234	blow (trans), play wind instrument	176	BLOW (WITH MOUTH)
235	blue	837	BLUE
236	blue, colors between blue and gray		
237	body	1480	BODY
238	body hair	189	HAIR (BODY)
239	body part	2213	BODY PART
240	boil	2493	BOIL
241	boil (trans)	2492	BOIL (SOMETHING)
242	bone	1394	BONE
243	border	2546	BORDER
244	borrow	1823	BORROW
245	botfly larva		
246	bottom, back (external)		
247	bow	994	BOW
248	boy, male child	1366	BOY
249	brain	1583	BRAIN
250	branch	1531	BRANCH
251	branch of a river	826	BRANCH (BIFURCATION)
252	branch@	1521	BRANCH
253	brave	3	BRAVE
254	breadth, capacity		
255	break (long skinny things like sticks) (trans)		
256	break (something round)		
257	break (trans)	2558	BREAK (CLEAVE)
258	break (trans) (without an instrument)	2558	BREAK (CLEAVE)
259	break (trans) something hollow		
260	break up camp
261	break, tear	2558	BREAK (CLEAVE)
262	breast	1402	BREAST
263	breastfeed	2472	SUCKLE (BREASTFEED, NURSE)
264	breastfeed (trans)	2472	SUCKLE (BREASTFEED, NURSE)
265	breath	870	BREATH
266	breathe (intr)	1407	BREATHE
267	breathe in, inhale	2705	INHALE
268	breeding		
269	bring (trans)	692	BRING
270	bring, take something from one place to another (trans)	692	BRING
271	bristle, fur		
272	broken, damaged	588	BROKEN
273	broom	245	BROOM
274	broth, juice		
275	brother	1262	BROTHER
276	brother, female ego	560	BROTHER (OF WOMAN)
277	brother, male ego	559	BROTHER (OF MAN)
278	brother-in law, HeB or HPGS , female ego	2698	BROTHER-IN-LAW (HUSBAND'S OLDER BROTHER)
279	brother-in law, HyB, female ego	2699	BROTHER-IN-LAW (HUSBAND'S YOUNGER BROTHER)
280	brother-in-law	2314	BROTHER-IN-LAW
281	brother-in-law, female ego		
282	brother-in-law, male ego	2380	BROTHER-IN-LAW (OF MAN)
283	brother-in-law, WB or WPGS male ego	2380	BROTHER-IN-LAW (OF MAN)
284	brother-in-law: eZH, PGDH, GDH, female ego	2698	BROTHER-IN-LAW (HUSBAND'S OLDER BROTHER)
285	brother-in-law: yZH, PGD(y), or GD(y), female ego	2699	BROTHER-IN-LAW (HUSBAND'S YOUNGER BROTHER)
286	brown	2409	BROWN
287	brown capuchin monkey		
288	bubble (v.)		
289	bull, cow		
290	bullet ant, Paraponera clavata		
291	bumble bee		
292	bunch, cluster		
293	bundle, wrap (trans)		
294	burn	2102	BURN
295	burn, scald		
296	burnt, singed smell		
297	burst, break open		
298	bury (trans)	1719	BURY
299	butterfly	1791	BUTTERFLY
300	buttocks	834	BUTTOCKS
301	cadaver, corpse	767	CORPSE
302	caiman	2438	CAIMAN
303	calabash, Crescentia cujete		
304	call (trans)	1084	CALL
305	calm down		
306	candela	1273	CANDLE
307	canoe	1970	CANOE
308	capture	702	CATCH
309	capture (trans)	702	CATCH
310	capture, caçar	1435	HUNT
311	cargo		
312	carry (trans)	700	CARRY
313	carry (trans) in arms	412	CARRY IN HAND
314	carry a short distance (trans)		
315	catch (with a lasso, etc.)		
316	catch by surprise		
317	catch fire		
318	catch with hook, pull up with fishing hook		
319	caterpillar sp.	2247	CATERPILLAR
320	catfish	3777	CATFISH
321	cause of fear		
322	celebration, party		
323	centipede	1974	CENTIPEDE
324	cerebellum, back of the head	523	BACK OF HEAD
325	certain	509	CERTAIN
326	certainly		
327	chacra	212	FIELD
328	chacra, farm	212	FIELD
329	chacra, farm, garden	212	FIELD
330	chacra, garden	212	FIELD
331	chameleon	1555	CHAMELEON
332	change directions in the water		
333	change, transform	1264	CHANGE
334	charcoal	1188	CHARCOAL
335	cheek	1730	CHEEK
336	chest	1592	CHEST
337	chest, inflated part		
338	chew	321	CHEW
339	chew (trans)	321	CHEW
340	chief (leader)	2394	CHIEF
341	chief (leader), king		
342	chigger
343	chigger, Trombicula alfreddugesi		
344	child	2099	CHILD
345	chin	1510	CHIN
346	chop firewood		
347	cicada	2353	CICADA
348	cigar		
349	claw	72	CLAW
350	claw@	72	claw
351	clay	1399	CLAY
352	clean	704	CLEAN
353	clean (dirt that is hard to remove) (v) (trans)		
354	clean (just dirt from the surface) (v) (trans)		
355	clean (v) (trans)	704	CLEAN
356	clean the rust off (v) (trans)		
357	clear land (for farming)		
358	climb (trans)	1102	CLIMB
359	close (v.) (trans)	1046	SHUT
360	close (v.) (trans), for example, a door	1046	SHUT
361	close (v.) (trans), for example, a pot or bottle	1046	SHUT
362	close door (v.) (trans)	1046	SHUT
363	cloth	1616	CLOTH
364	clothes	1895	CLOTHES
365	cloud	1489	CLOUD
366	coati	2389	COATI (COATIMUNDI)
367	cockroach	1575	COCKROACH
368	cold	1287	COLD
369	collared peccary (Pecari tajacu)	435	COLLARED PECCARY
370	collared peccary, Pecari tajacu	435	COLLARED PECCARY
371	color of clay/earth		
372	colored clay/earth		
373	come (intr)	1446	COME
374	companion	3978	COMPANION
375	conductor (of song, dance)		
376	confess	2022	ADMIT
377	conserved, well kept		
378	constellation		
379	continuous		
380	converse (trans)		
381	converse, discuss		
382	cook	1100	COOK (SOMETHING)
383	cook (intr, trans)	1100	COOK (SOMETHING)
384	cook (intr, trans)@	1100	COOK (SOMETHING)
385	cooked	269	COOKED
386	copal tree		
387	copulate, have sex with	549	COPULATE
388	copulate, have sex with, mate		
389	corn	506	MAIZE
390	corn drink, corn chicha		
391	corn drink@		
392	corral, pen (v.)		
393	cotton	1850	COTTON
394	cough (intr.)	879	COUGH
395	cough (n.)	3913	COUGH (ACT OF COUGHING)
396	cough(intr)	879	COUGH
397	cousin (female)	3823	FEMALE COUSIN
398	cousin (male)	3822	MALE COUSIN
399	cousin (male) MBS, male or female ego		
400	cousin (male), female ego		
401	cover (trans)	761	COVER
402	crack (n.)		
403	crack, cracked		
404	cricket	2354	CRICKET
405	cricket sp.	2354	CRICKET
406	crock (earthenware)		
407	crock (earthenware) for making chicha or masato		
408	crock (earthenware) for making manioc beer		
409	cross, go across		
410	cross-eyed		
411	cry (intr)	1839	CRY
412	cry, call (for example, rooster cry) (n. and v.)		
413	cultivate (trans)	1541	CULTIVATE
414	cup	476	CUP
415	cup (for drinking manioc beer or wine)		
416	cure by sucking		
417	cure, medicine	1372	MEDICINE
418	current	2935	CURRENT (STREAM)
419	curse	8	CURSE
420	cut	1432	CUT
421	cut (adj)		
422	cut (with intrument)		
423	cut (without an instrument)		
424	cut hair, fur		
425	cut in half, without the use of force. for example: the hand, a cloth, hair, bread		
426	cut with scissors	2155	CUT (WITH SCISSORS)
427	cut, chop		
428	cut, chop into large pieces. For example, chop firewood		
429	cut, cut down, fell tree (trans)		
430	cutbank, cliff, bluff		
431	cyst		
432	dam made of wood		
433	dance (intr)	1879	DANCE
434	dance (intr.)	1879	DANCE
